,qid,url,title,desc,topic
20,267881046,https://otvet.mail.ru/question/267881046,Срочно! Зеленский украл у Путина его главную технологию.,Срочно! Зеленский украл у Путина его главную технологию.,Политические дебаты
21,267881054,https://otvet.mail.ru/question/267881054,Помогите найти девочку из мюзикла (старый тик ток),"помню только то, что она была блондинкой, почти всегда с хвостиком и в кепке козырьком назад, косила под пацанку и в основном снимала липсинги.","Фото, видео, дизайн"
22,267881056,https://otvet.mail.ru/question/267881056,Ура у меня пропала надпись 1 год назад!,Сколько она там висела? Месяц? Ну вкудахте конечно молодцы,А сейчас что-то совсем другое
23,267881057,https://otvet.mail.ru/question/267881057,Важный опрос !,"Пацаны 
Иметь 10 друзей Или одну хорошую подругу (девушку)  
Я конечно в шоке с результатов опроса 
Нахуй 10 друзей вообще нужны? ",Дружба на века
24,267881062,https://otvet.mail.ru/question/267881062,Не надо человеком назвать русских людей!?,Не надо человеком назвать русских людей!?,А сейчас что-то совсем другое
25,267881069,https://otvet.mail.ru/question/267881069,Много мошенников генетическое вырождение,Много мошенников генетическое вырождение,Мошенники и скамеры
26,267881080,https://otvet.mail.ru/question/267881080,Новый препод ещё круче,"Нашего прошлого препода уволили и вместо него пришел другой мужик. Он сразу как в кабинет зашел в нос ударил запах перегара... С одной стороны хорошо, зачеты теперь легче сдавать, но блин препод алкаш",А сейчас что-то совсем другое
27,267881082,https://otvet.mail.ru/question/267881082,ЭТО НЕ СИМС!Помогите,"Помогите найти игру 
помню что на иконке игры было три фишки, сама игра была можно сказать симулятором жизни, нужно было отправлять персонажа на работу, покупать машину, новую квартиру дом, впервые я нашла ее в 2018-2019, очень понравилась, после того как слетел компьютер больше ее найти не смогла. НЕ СИМС!!могу еще добавить что взаимодействовать персонажем мы не могли, то есть можно было только отправлять его на работу и домой, так же иконка персонажа была в левом нижнем углу.",Время игр
28,267881084,https://otvet.mail.ru/question/267881084,Чем можно пофиксить данную проблему поменял материнку и проц все равно осталось преждним просто выключаеться и все,Чем можно пофиксить данную проблему поменял материнку и проц все равно осталось преждним просто выключаеться и все,А сейчас что-то совсем другое
29,267881090,https://otvet.mail.ru/question/267881090,Совет по пк,"Нормальной ли сборкой считаете за 25к вот это: 
 CPU: Intel Core i3-10100F
 GPU: NVIDIA RTX 2060
 RAM: 16 ГБ
 Память: SSD 256 ГБ + HDD 1 ТБ
 Блок питания: Chieftec 500W
 Материнская плата: GIGABYTE H510M K V2
Возможно ли такое вообще собрать если торговаться?
И что сможет такой пк? 
Без негатива, только недавно начал что-то узнать про коплектующие",Собираем компьютеры
30,267881097,https://otvet.mail.ru/question/267881097,Сломалась клавиатура,"У меня как будто зажат ctrl,выключаю клаву все тоже самое ",А сейчас что-то совсем другое
31,267881099,https://otvet.mail.ru/question/267881099,Я всегда ищу в людях только хорошее...,Плохое они и сами покажут?,Психология и жизнь
32,267881107,https://otvet.mail.ru/question/267881107,Ваш цепляющий заголовок,Ваш цепляющий заголовок,А сейчас что-то совсем другое
33,267881114,https://otvet.mail.ru/question/267881114,Как покрыть крышу и не упасть?,"Здравствуйте. На даче старый домик с покатой крышей. В какой бы обуви не лез,все равно скользко. А ещё в одной руке Шурик,саморезы,которые не хотят крутится ТК нет центра тяжести когда балансируешь на крыше. 
Существуют ли какие нибудь способы для подстраховки? Может прибить к крыше временно что нибудь? Или как то тросами себя подстраховать? Спасибо",Очумелые ручки
34,267881120,https://otvet.mail.ru/question/267881120,Как контролировать мужчину который в запое с кем он пьет и когда выходит с запоя ?,Как контролировать мужчину который в запое с кем он пьет и когда выходит с запоя ?,А сейчас что-то совсем другое
35,267881128,https://otvet.mail.ru/question/267881128,Ваш цепляющий заголовок,Ваш цепляющий заголовок,А сейчас что-то совсем другое
36,267881144,https://otvet.mail.ru/question/267881144,Оцените фильм от 1 до 10 как вам фильм,Оцените фильм от 1 до 10 как вам фильм,Киномания
37,267881152,https://otvet.mail.ru/question/267881152,Составьте характеристику дворянских семей по явлению 6 произведения &#34;недоросоль&#34;.,"помогите пожалуйста, ничего не понимаю. ",Литература
38,267881160,https://otvet.mail.ru/question/267881160,В странах где мало русскоговорящих людей - трудно жить  без знания языка - вас напрягает? ,В странах где мало русскоговорящих людей - трудно жить  без знания языка - вас напрягает? ,Мир и его люди
39,267881163,https://otvet.mail.ru/question/267881163,"Парни, какие ножки больше нравятся?","хочу спросить именно у парней, мы с подругами спорим, кто то говорит, что вам больше заходят худые и стройные ножки, а кто то уверен, что парням больше нравятся широкие ляшки.
а как вы думаете на самом деле? что больше привлекает и почему?",А сейчас что-то совсем другое
40,267881171,https://otvet.mail.ru/question/267881171,Как перестать завидовать парням в плане секса? Я если что девушка,"Парням проще кончить. Приятно и в зад дать из за простаты и передом трахнуть. А девушке от анала вообще ничего не будет частенько. Даже от вагинального проникновения хер кончишь. По статистике женщины во время секса достигают оргазма в 50-64% тогда как парни в 82-90% не справедливо. Я серьезно завидую. Как вам повезло что вы парни, оргазм это так круто. Круто что вам его проще гораздо испытать. 
Вы еще и можете быть ебырем и что бы вас от имели. А девушку только отыметь можно и то, это не приятно (",А сейчас что-то совсем другое
41,267881177,https://otvet.mail.ru/question/267881177,Напиток цикорий бодрит?,Напиток цикорий бодрит?,А сейчас что-то совсем другое
42,267881194,https://otvet.mail.ru/question/267881194,Помогите решить техническую механику пожалуйстаа,"определить опорные реакции консольных балок
для заданной консольной балки определить реакции в заделке, если F - 20kH, m- 4KH*m, q -4KH,м",А сейчас что-то совсем другое
43,267881199,https://otvet.mail.ru/question/267881199,Ваш цепляющий заголовок,Ваш цепляющий заголовок,А сейчас что-то совсем другое
44,267881200,https://otvet.mail.ru/question/267881200,"Зачем Господь Бог, создал ШЕРШНЕЙ? Они же пожирают пчёл. Может быть для контроля популяции пчёл?","Зачем Господь Бог, создал ШЕРШНЕЙ? Они же пожирают пчёл. Может быть для контроля популяции пчёл?","Бог, вера, религия"
45,267881205,https://otvet.mail.ru/question/267881205,Какой вейп взять лучшего всего? Бюджет до 4 тыс рублей ,Какой вейп взять лучшего всего? Бюджет до 4 тыс рублей ,Никотиновый уголок
46,267881209,https://otvet.mail.ru/question/267881209,"Меланхолия Харухи Судзумии интересное аниме , или нет?","Стоит ли его смотреть , или нет?",Аниме и манга
47,267881217,https://otvet.mail.ru/question/267881217,Подскажите мне игру,"посоветуйте игру там где вы спавнитесь на острове и вам надо выживать строить дом находить других людей торговаться делать цивилизацию от третьего лица чтобы она продавалась в стиме спасибо тому, кто ответит ",Время игр
48,267881224,https://otvet.mail.ru/question/267881224,Напишите пж аналоги тт на андроид,Напишите пж аналоги тт на андроид,А сейчас что-то совсем другое
49,267881228,https://otvet.mail.ru/question/267881228,"Маги, как вы думаете, к чему бы это?","25 сентября 2025 13:56:16 (GMT+3)
Соединения планет со звёздами:
Луна - Менкент.
Меркурий - Минкар.
Марс - Миаплацид.
Плутон - Таразед.
Лилит - Агена.
I Дом - Синистра.
Конфигурации:
Уран, Солнце, Плутон, Сатурн - Парус.
Нептун, Уран, Солнце, Плутон - Парус.
Нептун, Уран, Крест, Солнце - Трапеция.
Нептун, Уран, Крест, Плутон - Трапеция.
Уран, Крест, Солнце, Сатурн - Трапеция.
Уран, Крест, Солнце, Плутон - Парус.
Уран, Крест, Плутон, Сатурн - Трапеция.
Нептун, Крест, Солнце, Плутон - Повозка.
Уран, Солнце, Плутон - Большой Тригон.
Крест, Марс, Плутон - Тау-квадрат.
Нептун, Уран, Плутон - Бисекстиль.
Нептун, Уран, Крест - Бисекстиль.
Уран, Плутон, Сатурн - Бисекстиль.
Уран, Крест, Солнце - Бисекстиль.",Уважаемый маг
50,267881232,https://otvet.mail.ru/question/267881232,Вера и религия,Слушает ли Бог наши молитвы?,"Бог, вера, религия"
51,267881238,https://otvet.mail.ru/question/267881238,Nikon Z6 II или Canon R7?,"Помогите с выбором, снимаю репортажку именно фото преимущественно гонки, стоит выбор между чем обновиться, но сложно выбрать
Никон привлекает полным кадром побольше, но тк гонки снимаю очень важно мне хороший автофокус в том числе следящий, в общем да, что лучше из этих двух камер?",Электроника и электротехника
52,267881244,https://otvet.mail.ru/question/267881244,"Моя мама мне рассказывала, про то как она читала давно книжку","где говорилось, про то как правильно общаться с людьми. И говорила, что например, если человек сделал что-то плохое и хорошее одновременно, то обычно люди замечают только плохое и что в данной ситуации надо не ругать, а лучше хвалить человека за то что он сделал помимо плохого хорошее.
Но при этом когда я получаю 5 русскому и 2 по математике, то чот она про эту пятёрку забывает и говорит какой же я *блан что не подготовился",А сейчас что-то совсем другое
53,267881248,https://otvet.mail.ru/question/267881248,"Здравствуйте всем, к чему снится бывший во сне , и предлагает расширить квартиру ? ","Здравствуйте приснился снова бывший мч, последнее время он часто стал снится. Будто мы в моей квартире, он ушел от жены ко мне, якобы застукал ее с мужчиной,и мы сидим у меня рядом стоит его дочь говорит пап я буду скучать, и не была она расстроена. И я ему говорю надо квартиру побольше трешку покупать, а он такой сделаем трешку тебе(Сейчас мы не общаемся , но часто он напоминает мне о себе в соц сетях) большое спасибо всем знающим 🙏🌹🩷",Разойтись нельзя остаться
54,267881256,https://otvet.mail.ru/question/267881256,Как сократить длительность месячных? ,"у меня они мало того, что длятся по 8-9 дней(что далеко от нормы), так ещё и болезненные. как их сократить до 3 дней, чтобы не мучиться? таблетки я не могу пить, а денег сейчас на что-то нету, я в поисках работы пребываю и без понятия  когда найду. меньшее, что мне гинеколог пропишет, это дорогостоящие препараты. а у меня вообще денег нет на данный моментмомент. 
добавлено: и нет, беременность мне не нужна, я фригидная! ",Ответы Mail
55,267881257,https://otvet.mail.ru/question/267881257,"Привет, грабли! Это снова я...",.. да уж!,Психология и жизнь
56,267881263,https://otvet.mail.ru/question/267881263,"Из какой ткани изготовлен этот рюкзак, мне нужно сдать на ремонт мой такой же рюкзак. Напишите, кто знает, пожалуйста.",https://market.yandex.ru/card/vintazhnyy-ryukzak-kanzas/101785150349?do-waremd5=dJi0sX_U-8GH8jPmNfY6Yg&amp;cpc=VKLtH1mDEQ9VhYN31FbAeUe5aREVfxZEk__VtWPZ3IGODs_x0oucnlnTavNO4XcrmxAPfmdAF3Cy2Yc-3EN91_ZusocwmnMwbQO6enmAIDIyMwDvVucroGZWXhwDU1PEkvbMMrYELqV7Q91QsyFpr9CuZWb9ZlY-a_4JTHRHZD1w-F2AKcAN0AMpdFKldCmLLiVOEkccaiWJEdCQDN7QRUy5HK9DBXPc4GUycfFEFjO_50C0POCO6LSbMTtoit9ePobNGgkO8KgS4qsiYJWFQmq3loq-CDBRh3nVrCJSOcjcvnwgdI8K8LMbWL6IRT3m45oNl6CDJAGIyhw_MTvy_6-Ldz0TtoXjkchO4Duws1PyOQWEfyxwBaHECzWuzqqZkQnJr-YQl8XbSe3hJ-fI1ScvZgJwOTj6XyNgtLL6M7jVTU-NQm75OJq39-A6BeA5w5aNhVvFlaiaOPC5Zs1R0r0fFXPQuW_ZRVn_ys2IrDgSo9ppS6H63JNRHJKs25xlwtW_Cr-ES0zs1dGxuN7YjvcSM7JFvIA50EtYlrGrBEhHB0IM2XwpI2qJYTX0N7zPGSJHMQH87pVWv4PvRB-9d5rh32Hl3iAS&amp;ogV=-4#fullSpecsAnchorId,А сейчас что-то совсем другое
57,267881269,https://otvet.mail.ru/question/267881269,Ваш цепляющий заголовок,Ваш цепляющий заголовок,А сейчас что-то совсем другое
58,267881274,https://otvet.mail.ru/question/267881274,КАК Зеленый ОПЯТЬ НАДУЛ шарик?,КАК Зеленый ОПЯТЬ НАДУЛ шарик?,А сейчас что-то совсем другое
59,267881277,https://otvet.mail.ru/question/267881277,Arizona Sunshine Remake не работает кооп,При попытке войти в многопользовательскую игру(несколько игроков) идёт бесконечная загрузка по итогу которой выдаёт ошибку 10050. Кто с таким же сталкивался? Как решали?,Время игр
60,267881282,https://otvet.mail.ru/question/267881282,Уберётся ли ратник после снесения винды?,Уберётся ли ратник после снесения винды?,А сейчас что-то совсем другое
61,267881291,https://otvet.mail.ru/question/267881291,"Есть ли вообще смысл в современной России сдавать на права и покупать машину , если живешь в большом городе ?","Есть ли вообще смысл в современной России сдавать на права и покупать машину , если живешь в большом городе ?",Ремонт и обслуживание авто
62,267881297,https://otvet.mail.ru/question/267881297,"Как поставить любимому дубль гис чтоб следить за ним,чтоб он об этом не знал ?","Как поставить любимому дубль гис чтоб следить за ним,чтоб он об этом не знал ?",А сейчас что-то совсем другое
63,267881309,https://otvet.mail.ru/question/267881309,Чем можно спрятать царапины на Nintendo switch,Чем можно замаскировать такую царапину ?,А сейчас что-то совсем другое
64,267881312,https://otvet.mail.ru/question/267881312,Сервис регистрации онлайн ФНС России,Добрый день! Зашли в личный кабинет под ООО &#34;РОМАШКА&#34; а подали документы по фирме ООО &#34;СОЛНЫШКО&#34; будет ли и-за этого отказ. Кто уже ошибался так ? кто знает ?,Документы
65,267881316,https://otvet.mail.ru/question/267881316,Почему фундук похож на попу?,Почему фундук похож на попу?,Едариум
66,267881321,https://otvet.mail.ru/question/267881321,В каких аптеках оренбурга продают алпразолам без рецепта? ,В каких аптеках оренбурга продают алпразолам без рецепта? ,Философский вопрос
67,267881323,https://otvet.mail.ru/question/267881323,Наболевший вопрос. Почему не сделают пиво и сигареты с 14 лет? Почему не продают сиги и пиво в школе?,"В чем смысл бессмысленной борьбы за не понятно что? Все равно все когда-то умрут. Сделали бы уже киоск с сигами и пивом в школе, универах и тд. Так все будут добрые ходить хмельные, а не агрессивные напряженные. ",Зона Риска
68,267881330,https://otvet.mail.ru/question/267881330,Почему мозг похож на грецкий орех а фундук на зад?,Почему мозг похож на грецкий орех а фундук на зад?,Политические дебаты
69,267881334,https://otvet.mail.ru/question/267881334,"Что делать, если в семье все время скандалят, орут друг на друга и ссорятся?","Я младший сын, не знаю уже, как это остановить",Психология и жизнь
70,267881336,https://otvet.mail.ru/question/267881336,Почему нет доставки алкоголя? Чтобы по пути за пивом кого-нибудь ножом пырнуть или иб ало друг другу не набили.,Весто дома сидеть на расслабоне.,Зона Риска
71,267881344,https://otvet.mail.ru/question/267881344,Российская вакцина от рака что известно?,Российская вакцина от рака что известно?,А сейчас что-то совсем другое
72,267881345,https://otvet.mail.ru/question/267881345,Почему перловая каша макфа не вкусная?,Почему перловая каша макфа не вкусная?,Едариум
73,267881354,https://otvet.mail.ru/question/267881354,Как стать одним из советников Владимира Владимировича?,Как стать одним из советников Владимира Владимировича?,Политические дебаты
74,267881358,https://otvet.mail.ru/question/267881358,ЙОООУ ВОПРОС СРОЧНО ,Почему у парней такие классные половые органы? И милые,А сейчас что-то совсем другое
75,267881362,https://otvet.mail.ru/question/267881362,На каком сайте можно скачивать моды на фнф псих энжин,На каком сайте можно скачивать моды на фнф псих энжин,Стиль и фэшн
76,267881374,https://otvet.mail.ru/question/267881374,Помогите решить задачу по физике!!!9класс,"пожалуйста с дано и решением и не с чата джипити
точильный камень радиусом 10 см делает 300 оборотов в минуту. Найдите линейную и угловую скорости точек на ободе точильного камня.",Сборная Домашка
77,267881378,https://otvet.mail.ru/question/267881378,Помогите с олимпиадой по астрономии плиз,"Выберите лишнее : 
Большая Медведица
Стрелец
Цефей
Кассиопея
Малая Медведица
Дракон ",Космос и Вселенная
78,267881383,https://otvet.mail.ru/question/267881383,Почему так*,"решил скачать игру и сразу мод на нее, игра весила 800 мб и загрузилась быстро, но мод на нее который весит 200 мб загружался полчаса, в чем причина такой медленной загрузки?",Проблемы с ПК и интернетом
79,267881391,https://otvet.mail.ru/question/267881391,Штрудель в Москве,"Где можно поесть яблочный штрудель со взбитыми сливками в г. Москва, прямо как в фильме Бесславные ублюдки?",Едариум
80,267881395,https://otvet.mail.ru/question/267881395,"Совмещение дебилизма и бунтарства, что тогда будет?","Совмещение дебилизма и бунтарства, что тогда будет?",А сейчас что-то совсем другое
81,267881397,https://otvet.mail.ru/question/267881397,"А вы знали, что Путин - педофил?","А вы знали, что Путин - педофил?",Политические дебаты
82,267881401,https://otvet.mail.ru/question/267881401,Как доксить в Teleshare bot?,Как доксить в этом боте? Пишет что нужно аргумент! А что такое аргумент для этого бота?,А сейчас что-то совсем другое
83,267881405,https://otvet.mail.ru/question/267881405,А почему бомжи не объединятся и не захватывают мир?,А почему бомжи не объединятся и не захватывают мир?,А сейчас что-то совсем другое
84,267881410,https://otvet.mail.ru/question/267881410,Вопрос гейм-девам,"Какая была ваша первая игра.
Жанр, задумка, механики и желательно хотя-бы один скрин",Время игр
85,267881413,https://otvet.mail.ru/question/267881413,БЛИН ПАРНИ СРОЧНО ,Почему у парней такие классные половые органы? И милые,А сейчас что-то совсем другое
86,267881416,https://otvet.mail.ru/question/267881416,Что делать если на скутере бензин не поступает в топливный фильтр,что делать если на скутере бензин не поступает в топливный фильтр,Два колеса — свобода
87,267881419,https://otvet.mail.ru/question/267881419,Как узнать о наличии гражданства,"В 2002 году покинул Кыргызстан, на тот момент имел гражданство Кыргызстана 
Получил Российское гражданство
Но от гражданство Кыргызстан не отказывался
Паспорт Кыргызстан утерян
Как узнать сохранилось ли гражданство Кыргызстана",Переезд 360
88,267881421,https://otvet.mail.ru/question/267881421,"Помогите, 1 фпс на линукс","Что делать если на линуксе во всех играх максимум 1 фпс, раньше стояла винда и все было нормально, как только накатил линукс - такая хрень.
Может какой то лок фпс есть? Драйвера установил",Время игр
89,267881428,https://otvet.mail.ru/question/267881428,Безопасно ли скачивать обновление Windows 11?,"Я увидел в ютубе что винда ломает диски, если перекидывать большие файлы. Вышло ли уже обновление с фиксом этой проблемы?",Просто установи
90,267881433,https://otvet.mail.ru/question/267881433,Зеля переговорщик: маскали уходите! иначе ваще вашу экономику разорву в клочья! як тигр  ррррр!,"маскали: очнись дятел, вопрос, чем закончатся переговоры?",Политические дебаты
91,267881444,https://otvet.mail.ru/question/267881444,Cyberpunk 2077 Steam проблема со скачкой игры,"после 50 гигабайт установленный файлов выдает ошибку файл с контентом заблокирован (антивирусник отключен, стим запущен от имени админа, кэш стима очищен)",Steam
92,267881446,https://otvet.mail.ru/question/267881446,Сколько лет Волку из мультика &#34;Котёнок Котэ&#34;?,Сколько лет Волку из мультика &#34;Котёнок Котэ&#34;?,Вопросы о фауне
93,267881451,https://otvet.mail.ru/question/267881451, хочу быть богатым😞😞😞😞😞😞😞😞😞😞😞😞😞, хочу быть богатым😞😞😞😞😞😞😞😞😞😞😞😞😞,А сейчас что-то совсем другое
94,267881459,https://otvet.mail.ru/question/267881459,Бесконечная капча Дискорд,"при входе/авторизации в Дискорде я сталкиваюсь с проблемой бесконечных цепочек капс очистит кэш или переустановка не работают, на айфоне все работает а на андроиде бесконечная капча",Смартфоны
95,267881467,https://otvet.mail.ru/question/267881467,Сколько раз сможете сделать такие отжимания? судя по рукам людей которые ходят по улице ни одного раза не сделают,https://rutube.ru/video/e38f0c40bb3f95497a5ea2ff47e042cb/,Трушный спорт
96,267881474,https://otvet.mail.ru/question/267881474,Какое масле и какой вязкости?,"Подскажите, какое масло заливать в мазда 6 gg 2003, двигатель 2.3? пробег 307000",Ремонт и обслуживание авто
97,267881477,https://otvet.mail.ru/question/267881477,Дают ли ипотеку тем кто работает дистанционно ?,Дают ли ипотеку тем кто работает дистанционно ?,Квадратные метры
98,267881481,https://otvet.mail.ru/question/267881481,Песня из тиктока,"Почему под песней couple day in the summer
Такие комментарии?",Время музыки
99,267881489,https://otvet.mail.ru/question/267881489,Я сейчас купил силиконовую модель головы Путина и кoнчaю в нeгo ,Ошинь приятно ☺,Политические дебаты
100,267881496,https://otvet.mail.ru/question/267881496, где купить дёшево шифер???????????🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐, где купить дёшево шифер???????????🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐🧐,А сейчас что-то совсем другое
101,267881501,https://otvet.mail.ru/question/267881501,"Если в контр наступ зеля не хочет, на переговоры не с чем ехать, тогда шо ему делати?",обвинить Ес в не потужности?,Политические дебаты
102,267881506,https://otvet.mail.ru/question/267881506,"Моя мать помешана на психосоматике, что делать?","Она заставляет идти меня больной в школу, говоря что все это психосоматика. Когда у меня болит живот, она говорит что я себе все выдумала чтобы никуда не идти. Неделю назад была температура 39.3, мать сказала что это психосоматика и даже не дала выпить лекарство, сказав что это все химия и я травлю этим организм. Сейчас у меня ужасно болит горло, уши, тошнит сильно, гнойные сопли в большом количестве и похоже температура, на все это моя мама сказала что я все выдумала, а сопли это психомсоматика",Болезнеборье
103,267881512,https://otvet.mail.ru/question/267881512,Вы знаете кто это?,Вы знаете кто это?,А сейчас что-то совсем другое
104,267881518,https://otvet.mail.ru/question/267881518,Помогите с поиском драйверов для принтера на маке…,"купили принтер canon pixma mg2540s подскажите пожалуйста какие драйвера или сторонние программы нужны для того чтобы он начал взаимодействовать с MacBook Air m1 2020г.
Версия ос на маке sequoia 15.6.1",Просто установи
105,267881522,https://otvet.mail.ru/question/267881522,Брать или нет Куртку ??? ,Брать или нет Куртку ??? ,А сейчас что-то совсем другое
106,267881525,https://otvet.mail.ru/question/267881525,В который раз президент Северной Америки обос@рлся ?,В который раз президент Северной Америки обос@рлся ?,Политические дебаты
107,267881529,https://otvet.mail.ru/question/267881529,Помогите с геометрией 8 класс ,"Помогите пожалуйста, я не понимаю как решать, я тупое существо ",Математика
108,267881535,https://otvet.mail.ru/question/267881535,"Наушники honor earbuds x5 pro, правый наушник очень тихо производит звук",Телефон honor magic 7 pro,Электроника и электротехника
109,267881536,https://otvet.mail.ru/question/267881536,"Хочу купить айфон, 100% аккумулятор, но витринный образец ","Хочу купить айфон, 100% аккумулятор, но витринный образец , скажите в чем минус витринных образцов, цена в два раза меньше",Смартфоны
110,267881542,https://otvet.mail.ru/question/267881542,Сколько лайков на посте = столько детей в подвале у меня,Сколько лайков на посте = столько детей в подвале у меня,А сейчас что-то совсем другое
