,Title,Cost,Author,Description,Skill
107,"Charwich-Koniinge Letters, v1",13,Charwich,Letter sent from Charwich to Koniinge about their search for Azura's Star,0
108,"Charwich-Koniinge Letters, v3",13,Charwich,Letter sent from Charwich to Koniinge about their search for Azura's Star,0
109,"Charwich-Koniinge Letters, v4",20,Syrix Goinithi,Letter sent between Charwich and Koniinge about their search for Azura's Star,0
110,"Charwich-Koniinge, v2",13,Koniinge,Letter sent from Koniinge to Charwich about their search for Azura's Star,0
111,Chaurus Pie: A Recipe,11,Nils,A recipe for a pie from chaurus meat,0
112,Cherim's Heart,70,"Livillus Perus, Professor at the Imperial University","Interview with Cherim, a master tapestry weaver",1
113,Children of the Sky,25,,A description of the Nords and the Thu'um,0
114,A Children's Anuad,6,,Early religious book providing a simplified version of The Anuad creation myth from the Mythic Era,0
115,Children of the All-Maker,11,Tharstan of Solitude,An outsider's accounting of the Skaal,0
116,Chimarvamidium,"70 (skill book)
20 (ordinary book)",Marobar Sul,Book 6 of a series of fictional stories about the Dwemer,1
117,Chronicles of Nchuleft,30,An Anonymous Altmer,A historical chronicle of events in the Dwemer Freehold Colony of Nchuleft,0
118,Cicero's Journal - Final Volume,100,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
119,Cicero's Journal - Volume 1,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
120,Cicero's Journal - Volume 2,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
121,Cicero's Journal - Volume 3,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
122,Cicero's Journal - Volume 4,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
123,The City of Stone,4,Amanda Alleia,A mercenary's guide to Markarth,0
124,Cleansing of the Fane,20,,Fragmented script from a member of the Alessian Order,0
125,The Code of Malacath,2,"Amanda Alleia, Mercenary",A description of life in an average Orc Stronghold,0
126,Confessions of a Dunmer Skooma Eater,3,Tilse Sendas,A narrative of a cured skooma addict,0
127,Confessions Of A Khajiit Fur Trader,11,The Fur Trader,A Khajiit's memoir of the black market fur trade,0
128,Cook's Journal,5,an Unknown Bandit Cook,The journal of a cook that took the phrase dog-eat-dog world a little too literally,0
129,"A Dance in Fire, v1",3,Waughin Jarth,Chapter 1 of a clerk's adventures in Valenwood,0
130,"A Dance in Fire, v2",50,Waughin Jarth,Chapter 2 of a clerk's adventures in Valenwood,1
131,"A Dance in Fire, v3",3,Waughin Jarth,Chapter 3 of a clerk's adventures in Valenwood,0
132,"A Dance in Fire, v4",4,Waughin Jarth,Chapter 4 of a clerk's adventures in Valenwood,0
133,"A Dance in Fire, v5",30,Waughin Jarth,Chapter 5 of a clerk's adventures in Valenwood,0
134,"A Dance in Fire, v6",60,Waughin Jarth,Chapter 6 of a clerk's adventures in Valenwood,1
135,"A Dance in Fire, v7",60,Waughin Jarth,Chapter 7 of a clerk's adventures in Valenwood,1
136,Darkest Darkness,5,,A description of various Daedra,0
137,Daughter of the Niben,60,Sathyr Longleat,The history of Bravil and its famous statue of the Lucky Old Lady,1
138,Daynas Valen's Journal,5,Daynas Valen,Details Valen's efforts to hunt down the Gauldur Legend,0
139,Daynas Valen's Notes,5,Daynas Valen,A summary of research of the Gauldur Legend,0
140,De Rerum Dirennis,55,Vorian Direnni,Tales about a creator of Alchemy Science,1
141,Death Blow of Abernanit,50,Anonymous (with notes by Geocrates Varnus),The death of Dagoth Thras,1
142,Death of a Wanderer,12,Anonymous,A tale of an Argonian's unfortunate venture into a Draugr crypt,0
143,Deathbrand,20,,A Pirate's Tale,0
144,Decree of Monument,5,,About recognizing a place of historic value,0
145,Diary of Faire Agarwen,20,Faire Agarwen,Translated from Falmer Text by Calcelmo of Markarth,0
146,"Discovering Ruunvald, Vol. I",5,Moric Sidrey,,0
147,"Discovering Ruunvald, Vol. II",5,Moric Sidrey,,0
148,"Discovering Ruunvald, Vol. III",5,Moric Sidrey,,0
149,"Discovering Ruunvald, Vol. IV",5,Moric Sidrey,,0
150,The Doors of the Spirit,5,,Mantra of the Dunmer spirits,0
151,The Doors of Oblivion,50,Seif-ij Hidja,"The chronicles of Morian Zenas' journey through the realms of Oblivion, penned by his apprentice",1
152,The Dowry,11,Marobar Sul,Book 10 of a series of fictional stories about the Dwemer,0
153,The Dragon Break,14,Fal Droon,Explanation of a historical error of timing,0
154,Dragon Language: Myth no More,14,Hela Thrice-Versed,A lengthy thesis on the ancient language of the dragons,0
155,The Dragon War,12,Torhal Bjorik,A religious text describing the primordial war between men and dragons,0
156,A Dream of Sovngarde,8,Skardan Free-Winter,A soldier's tale of his dream before battle,0
157,The Dreamstride,5,The Mysterious Alchemists of Vaermina,A description of the nature and effect of Vaermina's Torpor,0
158,Dunmer of Skyrim,7,Athal Sarys,A proclamation of Dunmer supremacy in eastern Skyrim,0
159,"Dwarves, v1",10,"Calcelmo, Scholar of Markarth",A scholarly work on the architecture and metallurgy of Dwemer,0
160,"Dwarves, v2",10,"Calcelmo, Scholar of Markarth",A scholarly work on the war equipment and machinery of Dwemer,0
161,"Dwarves, v3",10,"Calcelmo, Scholar of Markarth",A scholarly work on the culture and history of Dwemer,0
162,Dwemer History and Culture,13,Hasphat Antabolis,A scholar's review of the Dwemer essays written by Marobar Sul,0
163,Dwemer Inquiries Vol I,6,"Thelwe Ghelein, Scholar",Part of a series of scholarly essays on the elusive Dwemer,0
164,Dwemer Inquiries Vol II,6,"Thelwe Ghelein, Scholar",Part of a series of scholarly essays on the elusive Dwemer,0
165,Dwemer Inquiries Vol III,6,"Thelwe Ghelein, Scholar",Part of a series of scholarly essays on the elusive Dwemer,0
166,Effects of the Elder Scrolls,25,Justinius Poluhnius,A thesis on the four different types of readers of the Elder Scrolls,0
167,Eisa's Journal,5,Eisa Blackthorn,The journal of a bandit,0
168,Enchanter's Primer,50,Sergius Turrianus,A guide for novices in enchanting issued by the College of Winterhold,1
169,Endrast's Journal,5,Endrast,A journal detailing Endrast's escape from Falmer in Alftand,0
170,Erj's Notes,5,Erj,Notes revealing an expedition team member's selfish intents,0
171,The Exodus,55,Waughin Jarth,The tale of a parent's desperate bid to save their only child,1
172,Expedition Manifest,5,Sulla Trebatius,A basic run-down of the Alftand Expedition Camp and its occupants,0
173,An Explorer's Guide to Skyrim,8,"Marcius Carvain, Viscount Bruma",A brief travel guide for adventuresome tourists in Skyrim,0
174,Eydis's Journal,25,Eydis,,0
175,Faded Diary,5,,The diary of a refugee from Morrowind who never found safety,0
176,Fall from Glory,8,Nithilis Lidari,Theories on the weakening of the Skyrim Thieves Guild,0
177,Fall of the Snow Prince,11,Lokheim,"An account of the Battle of the Moesring as transcribed by Lokheim, chronicler to the chieftain Ingjaldr White-Eye",0
178,The Falmer: A Study,11,Ursa Uthrax,"A study on Falmer, recounting their war with the Dwemer",0
179,Father Of The Niben,65,Florin Jaliil,Translation of the fragmented journal of Topal the Pilot,1
180,Feyfolken I,12,Waughin Jarth,"The Great Sage tells Volume 1 of a story of Artaeum, Psijics, and Robotic Enchanters",0
181,Feyfolken II,12,Waughin Jarth,"The Great Sage tells Volume 2 of a story of Artaeum, Psijics, and Robotic Enchanters",0
182,Feyfolken III,12,Waughin Jarth,"The Great Sage tells Volume 3 of a story of Artaeum, Psijics, and Robotic Enchanters",0
183,Final Lesson,14,Aegrothius Goth,Two apprentices are separated,0
184,Fire and Darkness,50,Ynir Gorming,The history of the Morag Tong assassin guild,1
185,The Firmament,5,Ffoulke,A book of constellations and their meanings,0
186,The Firsthold Revolt,7,Maveus Cie,The story of how Hlaalu Helseth's sister kept the Summerset Isle city of Firsthold,0
187,Fisherman's Journal,5,Advard,,0
188,Fisherman's Journal,5,,A fisherman writes about superstitions surrounding Lake Ilinalta,0
189,Five Songs of King Wulfharth,30,,"A summary of five epic songs of King Wulfharth, plus an apocryphal song of the Tribunal, Dagoth-Ur, and Indoril Nerevar",0
190,The Five Far Stars,7,Zershishi Mus-Manul,Ashlander poetry,0
191,Flight from the Thalmor,13,Hadrik Oaken-Heart,A written epitaph of a Nordic skald,0
192,"Forge, Hammer and Anvil",14,Adolphus Eritius,Poorly-written notes on smithing by a Nordic blacksmith in the late Second Era,0
193,The Four Totems of Volskygge,5,,A logic puzzle holding the secret to opening a barred gate,0
194,Fragment: On Artaeum,20 / 5,Taurce il-Anselma,A work explaining some of the history of the Psijic island of Artaeum,0
195,"Frontier, Conquest",5,"University of Gwylim Press, 3E 344",Details the presence of humans in Tamriel prior to the original Nordic conquests thought to bring humans to Tamriel,0
196,Galerion The Mystic,6,Asgrim Kolsgreg,"A biography of Galerion, a Psijic who founded the Mages Guild",0
197,Gallus's Encoded Journal,5,Gallus Desidenius,The secret encrypted journal of one of the Nightingales,0
198,Gallus's Journal,5,Gallus Desidenius,Journal entries noting Mercer Frey's betrayal of the Guild,0
199,A Game at Dinner,55,An Anonymous Spy,A spy's observations upon poison making and a dinner party,1
200,A Gentleman's Guide to Whiterun,3,Mikael the Bard,A bard's description of life in the city of Whiterun,0
201,Ghosts in the Storm,13,Adonato Leotelli,Author's tale of his encounter with the Falmer,0
202,Glories and Laments,25,Alexandre Hetrard,"The ""glories"" of the Ayleid city Ceyatatar and ""laments"" over the collapse of the Ayleid civilization",0
203,Gods and Worship,5,Brother Hetchfield,Speculation concerning the worship of gods and their benefit from such,0
204,The Gold Ribbon of Merit,65,Ampyrian Brum,A man tutors his old friend in marksmanship,1
205,Gratian's Journal,125,Gratian Caerellius,,0
206,Great Harbingers,13,Swyk the Long-Sighted,Chronicle of some of the leaders of the Companions,0
207,The Great War,6,Legate Justianus Quintius,A soldier's summation of the major events before and during the Great War,0
208,The Guardian and the Traitor,20,Lucius Gallus,"A Skaal legend, describing a Dragon Priest's corruption by Herma-Mora",0
209,Guide to Better Thieving,60,Wulfmare Shadow-Cloak,A boastful thief discusses the tricks of the trade,1
210,Habd's Journal,5,Habd,A journal detailing Habd's purchase of the Frostflow Lighthouse and the events leading up the massacre of his family by Falmer,0
211,Hajvarr's Journal,5,Hajvarr Iron-Hand,A journal relaying the White River bandit gang's problems,0
212,Hallgerd's Tale,70,Tavi Dromio,Squabbling over the greatest warrior ever leads to a tale of heavy-armor-master Hlaalu Pasoroth,1
213,Hamelyn's Journal,75,Hamelyn,,0
214,Hanging Gardens,30,,"A travel guide to the Hanging Gardens of Wasten Coridale, written in both Dwemeris and Aldmeris",0
215,Hargar's Journal,5,Captain Hargar,Events leading up to the wreckage of the Icerunner,0
216,Harvesting Frostbite Spider Venom,7,,A brief guide to harvesting frostbite spider venom,0
217,Heavy Armor Forging,70,Sven Two-Hammers,A guide to creating Heavy Armor,1
218,Heddic's Volunruud Notes,5,Heddic Volunnar,About accessing the tomb of Kvenel the Tongue,0
219,Herbalist's Guide to Skyrim,55,Agneta Falia,"A description of alchemy ingredients found in Tamriel's northernmost province, Skyrim",1
220,Herbane's Bestiary: Automatons,14,Herbane,A guide to Dwemer Constructs,0
221,Herbane's Bestiary: Hagravens,6,Herbane,A guide to Hagravens,0
222,Herbane's Bestiary: Ice Wraiths,7,Herbane,A guide to Ice Wraiths,0
223,"History of Raven Rock, Vol. I",7,Lyrin Telleno,,0
224,"History of Raven Rock, Vol. II",7,Lyrin Telleno,,0
225,"History of Raven Rock, Vol. III",7,Lyrin Telleno,,0
226,Holdings of Jarl Gjalund,5,Slafknir the Scribe,An ancient list of settlements within Whiterun Hold,0
227,The Holds of Skyrim,3,,The official guide of the Imperial Legion to Skyrim and its holds,0
228,The Hope of the Redoran,5,Turiul Nirith,A tale of a child blessed by a prophecy and the interpretation thereof,0
229,Horker Attacks,4,Heidmir Starkad,The tale of a horker attack,0
230,Horror of Castle Xyr,55,Baloth-Kul,A One Act Play,1
231,The House of Troubles,7,,Chronicle of the Daedra who decided not to submit to the Tribunal,0
232,Hrodulf's Journal,10,Hrodulf,,0
233,Hunter's Journal,5,,,0
234,Hunter's Journal,5,,,0
235,A Hypothetical Treachery,55,Anthil Morvir,A One Act Play,1
236,Ice and Chitin,50,Pletius Spatec,A tale of the manipulation of chitin armor,1
237,Ildari's Journal,125,Ildari Sarothril,,0
238,"Ildari's Journal, vol. I",5,Ildari Sarothril,,0
239,"Ildari's Journal, vol. II",5,Ildari Sarothril,,0
240,"Ildari's Journal, vol. III",5,Ildari Sarothril,,0
241,Immortal Blood,4,Anonymous,Dialogues about fighting with vampires,0
242,Imperial Missive,0,General Tullius,About the Thalmor imprisonment of a Whiterun citizen,0
243,Imperial Report on Saarthal,13,Heseph Chirirnis,A report from a Mages Guild Scholar assigned to Imperial Archaeologist Sentius Floronius,0
244,The Importance of Where,50,Marobar Sul,Book 3 of an incomplete series of fictional stories about the Dwemer,1
245,Incident at Necrom,60,Jonquilla Bothe,A story about an illusionist,1
246,Invocation of Azura,20,Sigillah Parate,A work written by the High Priestess of Azura arguing the superiority of Azura to other Daedra Princes,0
247,J'zhar's Journal,5,J'zhar,The journal of one of the Khajiti brothers on an ill-fated expedition,0
248,Japhet's Journal,5,Japhet,The journal of a man who became consumed by his obsession,0
249,Jornibret's Last Dance,50,,Song involving men and women's parts,1
250,Journal,5,Kornalus,About experiments for infusing elemental energy into Frostbite Spiders,0
251,Journal,5,,A dying man's last thoughts,0
252,Journal,5,,About a woman's fatal trip to her favorite swimming hole,0
253,Journal of Drokt,5,Drokt,,0
254,Journal of Mirtil Angoth,20,Mirtil Angoth,Translated from Falmer text by Calcelmo of Markarth,0
255,The Journal of Ralis Sedarys - Volume 19,5,Ralis Sedarys,,0
256,The Journal of Ralis Sedarys - Volume 20,5,Ralis Sedarys,,0
257,The Journal of Ralis Sedarys - Volume 21,5,Ralis Sedarys,,0
258,The Journal of Ralis Sedarys - Volume 22,5,Ralis Sedarys,,0
259,The Journal of Ralis Sedarys - Volume 23,5,Ralis Sedarys,,0
260,Karan's Journal,5,Karan,About a girl's ill-fated plan to elope with her Dunmer lover,0
261,Katria's Journal,15,Katria,Notes about an ancient forge and its whereabouts.,0
262,The Keepers of the Razor,5,Silus Vesuius,An account of the separation and division of Mehrunes' Razor into three pieces,0
263,Killing - Before You're Killed,3,Eduardo Corvus,Tips on effective combat methods,0
264,King,50,Reven,The final chapter in the adventures of Eslaf Erol,1
265,King Olaf's Verse,30,,"A lost part of the Poetic Edda, sung during the burning of Olaf's effigy in Solitude",0
266,"A Kiss, Sweet Mother",6,,A description of the Black Sacrament in order to enlist the Dark Brotherhood,0
267,The Knights of the Nine,70,Karoline of Solitude,The founding and breakup of the original Knights of the Nine,1
268,Kodlak's Journal,5,Kodlak Whitemane,The last writings of a Harbinger of the Companions,0
269,Kolb & the Dragon,2,,A story of a quest to slay a dragon where the reader makes the choices and decides the hero's fate,0
270,Krag's Journal,5,Krag,Notes on an expedition team's progress into Nchuand-Zel,0
271,Kyr's Log,5,Kyr,The log of an attempt to turn a crypt into a bandit lair,0
272,Last King of the Ayleids,25,Herminia Cinna,Chronicles the downfall of the Ayleid Empire in the First Era,0
273,The Last King of the Ayleids,5,Herminia Cinna,Chronicles the downfall of the Ayleid Empire in the First Era,0
274,Last Scabbard of Akrash,70,Tabar Vunqidh,Story of a slaver's daughter and her Khajiit lover,1
275,Legend of Krately House,75,Baloth-Kul,A play about the ghostly Krately family and how they died,1
276,The Legend of Red Eagle,5,Tredayn Dren,An ancient tale about the invasion of the Reach by the First Empire,0
277,The Legendary Sancre Tor,50,Matera Chapel,An attempt to chronicle the rise and fall of Sancre Tor,1
278,The Legendary Scourge,30,,"A short story and poem about Scourge, the mace of Malacath",0
279,Life of Uriel Septim VII,5,Rufus Hayn,A short biography of Uriel Septim VII's accomplishments,0
280,Light Armor Forging,70,Revus Sarvani,A book detailing various aspects of forging the various types of light armor,1
281,Liminal Bridges,50,Camilonwe of Alinor,A Discourse On The Theory and Praxis of Traveling Between Mundus and Oblivion,1
282,Lives of the Saints,5,Tribunal Temple,Listing and describing prominent saints of the Dunmer,0
283,The Locked Room,75,Porbert Lyttumly,How a pupil outlocks her cruel picklock instructor,1
284,Lost Legends,11,"Talsgar the Elder, Archivist of Winterhold",A collection of less well-known folk tales from Skyrim's past,0
285,Love Poem,5,Yngvar the Singer,,0
286,Lu-ah's Journal,5,Lu'ah Al-Skaven,,0
287,The Lunar Lorkhan,60,Fal Droon,A theory about the moons Masser and Secunda,1
288,"The Lusty Argonian Maid, v1",14,Crassius Curio,A short excerpt from Crassius Curio's bawdy play,0
289,"The Lusty Argonian Maid, v2",14,Crassius Curio,Another short scene from the pen of Vivec City's foremost playwright,0
290,Lusty Argonian Maid Folio,25,Crassius Curio,,0
291,Lycanthropic Legends of Skyrim,20,"Lentulus Inventius, Order of the Horn",A recounting of the unwillingness of Skyrim's inhabitants to share stories of Lycanthropy,0
292,Lymdrenn Tenvanni's Journal,5,Lymdrenn Tenvanni,"A father's last words, as transcribed by a family servant",0
293,Mace Etiquette,50,,A warrior's instruction pamphlet on proper mace tactics,1
294,"The Madmen of the Reach",7,"Arrianus Arius, Imperial Scholar",A defense of the Forsworn,0
295,The Madness of Pelagius,12,Tsathenes,Profiling the renowned Mad Emperor,0
296,Magic from the Sky,12,Irlav Jarol,"Treatise concerning Ayleid Wells, Welkynd Stones, and Varla Stones",0
297,Maluril's Journal,5,Maluril Ferano,,0
298,Malyn Varen's Grimoire,30,"Malyn Varen, Master Enchanter",A proud mage boasts of altering a Daedric artifact,0
299,"Mannimarco, King of Worms",55,Horicles,"Biography of Mannimarco, the leader of Necromancers, in verse",1
300,Margret's Journal,5,Margret,An Imperial Legion spy's journal detailing a mission to acquire the Cidhna Mine,0
301,Markarth Home Decorating Guide,5,,Details on accessory packages available for a Markarth home,0
302,The Marksmanship Lesson,65,Alla Llaleth,How a Bosmer slave teaches his master's son marksmanship,1
303,Master Illusion Text,5,,,0
304,Master Illusion Text,5,,,0
305,Master Illusion Text,5,,,0
306,Master Illusion Text,5,,,0
