link_id,mention_text,entity_type,region_id,finding_id,confidence
mm_image_link_01025,renal failure,Disease,roi_img_cxr_000024_bilateral_lung_fields,finding_img_cxr_000024_pneumonia_label,0.45
mm_image_link_01026,nephropathy,Disease,roi_img_cxr_000025_bilateral_lung_fields,finding_img_cxr_000025_pneumonia_label,0.45
mm_image_link_01027,proteinuria,Disease,roi_img_cxr_000026_bilateral_lung_fields,finding_img_cxr_000026_pneumonia_label,0.45
mm_image_link_01028,hypertension,Disease,roi_img_cxr_000027_bilateral_lung_fields,finding_img_cxr_000027_pneumonia_label,0.45
mm_image_link_01029,chronic renal failure,Disease,roi_img_cxr_000028_bilateral_lung_fields,finding_img_cxr_000028_pneumonia_label,0.45
mm_image_link_01030,Crohn's disease,Disease,roi_img_cxr_000029_bilateral_lung_fields,finding_img_cxr_000029_pneumonia_label,0.45
mm_image_link_01031,Crohn's disease,Disease,roi_img_cxr_000030_bilateral_lung_fields,finding_img_cxr_000030_pneumonia_label,0.45
mm_image_link_01032,Crohn's disease,Disease,roi_img_cxr_000031_bilateral_lung_fields,finding_img_cxr_000031_pneumonia_label,0.45
mm_image_link_01033,nausea,Disease,roi_img_cxr_000032_bilateral_lung_fields,finding_img_cxr_000032_pneumonia_label,0.45
mm_image_link_01034,Crohn's disease,Disease,roi_img_cxr_000033_bilateral_lung_fields,finding_img_cxr_000033_pneumonia_label,0.45
mm_image_link_01035,inflammatory bowel disease,Disease,roi_img_cxr_000034_bilateral_lung_fields,finding_img_cxr_000034_pneumonia_label,0.45
mm_image_link_01036,myocardial injury,Disease,roi_img_cxr_000035_bilateral_lung_fields,finding_img_cxr_000035_pneumonia_label,0.45
mm_image_link_01037,schizophrenic,Disease,roi_img_cxr_000036_bilateral_lung_fields,finding_img_cxr_000036_pneumonia_label,0.45
mm_image_link_01038,myocardial injury,Disease,roi_img_cxr_000037_bilateral_lung_fields,finding_img_cxr_000037_pneumonia_label,0.45
mm_image_link_01039,myocardial infarction,Disease,roi_img_cxr_000038_bilateral_lung_fields,finding_img_cxr_000038_pneumonia_label,0.45
mm_image_link_01040,ischemia,Disease,roi_img_cxr_000039_bilateral_lung_fields,finding_img_cxr_000039_pneumonia_label,0.45
mm_image_link_01041,bundle branch block,Disease,roi_img_cxr_000040_bilateral_lung_fields,finding_img_cxr_000040_pneumonia_label,0.45
mm_image_link_01042,tardive dystonia,Disease,roi_img_cxr_000041_bilateral_lung_fields,finding_img_cxr_000041_pneumonia_label,0.45
mm_image_link_01043,tardive dyskinesia,Disease,roi_img_cxr_000042_bilateral_lung_fields,finding_img_cxr_000042_pneumonia_label,0.45
mm_image_link_01044,parkinsonism,Disease,roi_img_cxr_000043_bilateral_lung_fields,finding_img_cxr_000043_pneumonia_label,0.45
mm_image_link_01045,dystonia,Disease,roi_img_cxr_000044_bilateral_lung_fields,finding_img_cxr_000044_pneumonia_label,0.45
mm_image_link_01046,tardive dystonia,Disease,roi_img_cxr_000045_bilateral_lung_fields,finding_img_cxr_000045_pneumonia_label,0.45
mm_image_link_01047,Ocular and auditory toxicity,Disease,roi_img_cxr_000046_bilateral_lung_fields,finding_img_cxr_000046_pneumonia_label,0.45
mm_image_link_01048,Ocular toxicity,Disease,roi_img_cxr_000047_bilateral_lung_fields,finding_img_cxr_000047_pneumonia_label,0.45
mm_image_link_01049,auditory toxicity,Disease,roi_img_cxr_000048_bilateral_lung_fields,finding_img_cxr_000048_pneumonia_label,0.45
mm_image_link_01050,audiovisual toxicity,Disease,roi_img_cxr_000049_bilateral_lung_fields,finding_img_cxr_000049_pneumonia_label,0.45
mm_image_link_01051,visual or auditory toxicity,Disease,roi_img_cxr_000050_bilateral_lung_fields,finding_img_cxr_000050_pneumonia_label,0.45
mm_image_link_01052,visual toxicity,Disease,roi_img_cxr_000051_bilateral_lung_fields,finding_img_cxr_000051_pneumonia_label,0.45
mm_image_link_01053,auditory toxicity,Disease,roi_img_cxr_000052_bilateral_lung_fields,finding_img_cxr_000052_pneumonia_label,0.45
mm_image_link_01054,Visual toxicity,Disease,roi_img_cxr_000053_bilateral_lung_fields,finding_img_cxr_000053_pneumonia_label,0.45
mm_image_link_01055,dyschromatopsy,Disease,roi_img_cxr_000054_bilateral_lung_fields,finding_img_cxr_000054_pneumonia_label,0.45
mm_image_link_01056,a loss of visual acuity,Disease,roi_img_cxr_000055_bilateral_lung_fields,finding_img_cxr_000055_pneumonia_label,0.45
mm_image_link_01057,pigmentary retinal deposits,Disease,roi_img_cxr_000056_bilateral_lung_fields,finding_img_cxr_000056_pneumonia_label,0.45
mm_image_link_01058,Auditory toxicity,Disease,roi_img_cxr_000057_bilateral_lung_fields,finding_img_cxr_000057_pneumonia_label,0.45
mm_image_link_01059,neurosensorial hearing loss,Disease,roi_img_cxr_000058_bilateral_lung_fields,finding_img_cxr_000058_pneumonia_label,0.45
mm_image_link_01060,hearing loss,Disease,roi_img_cxr_000059_bilateral_lung_fields,finding_img_cxr_000059_pneumonia_label,0.45
mm_image_link_01061,toxicity,Disease,roi_img_cxr_000060_bilateral_lung_fields,finding_img_cxr_000060_pneumonia_label,0.45
mm_image_link_01062,audiovisual toxicity,Disease,roi_img_cxr_000061_bilateral_lung_fields,finding_img_cxr_000061_pneumonia_label,0.45
mm_image_link_01063,Myasthenia gravis,Disease,roi_img_cxr_000062_bilateral_lung_fields,finding_img_cxr_000062_pneumonia_label,0.45
mm_image_link_01064,neuromuscular disease,Disease,roi_img_cxr_000063_bilateral_lung_fields,finding_img_cxr_000063_pneumonia_label,0.45
mm_image_link_01065,quadriplegic,Disease,roi_img_cxr_000064_bilateral_lung_fields,finding_img_cxr_000064_pneumonia_label,0.45
mm_image_link_01066,preeclampsia,Disease,roi_img_cxr_000065_bilateral_lung_fields,finding_img_cxr_000065_pneumonia_label,0.45
mm_image_link_01067,postsynaptic neuromuscular blockade,Disease,roi_img_cxr_000066_bilateral_lung_fields,finding_img_cxr_000066_pneumonia_label,0.45
mm_image_link_01068,paralysis,Disease,roi_img_cxr_000067_bilateral_lung_fields,finding_img_cxr_000067_pneumonia_label,0.45
mm_image_link_01069,myasthenia gravis,Disease,roi_img_cxr_000068_bilateral_lung_fields,finding_img_cxr_000068_pneumonia_label,0.45
mm_image_link_01070,disorder of neuromuscular transmission,Disease,roi_img_cxr_000069_bilateral_lung_fields,finding_img_cxr_000069_pneumonia_label,0.45
mm_image_link_01071,hemorrhagic,Disease,roi_img_cxr_000070_bilateral_lung_fields,finding_img_cxr_000070_pneumonia_label,0.45
mm_image_link_01072,hemorrhagic cystitis,Disease,roi_img_cxr_000071_bilateral_lung_fields,finding_img_cxr_000071_pneumonia_label,0.45
mm_image_link_01073,cystitis,Disease,roi_img_cxr_000072_bilateral_lung_fields,finding_img_cxr_000072_pneumonia_label,0.45
mm_image_link_01074,bladder damage,Disease,roi_img_cxr_000073_bilateral_lung_fields,finding_img_cxr_000073_pneumonia_label,0.45
mm_image_link_01075,pain,Disease,roi_img_cxr_000074_bilateral_lung_fields,finding_img_cxr_000074_pneumonia_label,0.45
mm_image_link_01076,migraine,Disease,roi_img_cxr_000075_bilateral_lung_fields,finding_img_cxr_000075_pneumonia_label,0.45
mm_image_link_01077,migraine,Disease,roi_img_cxr_000076_bilateral_lung_fields,finding_img_cxr_000076_pneumonia_label,0.45
mm_image_link_01078,migraine,Disease,roi_img_cxr_000077_bilateral_lung_fields,finding_img_cxr_000077_pneumonia_label,0.45
mm_image_link_01079,migraine,Disease,roi_img_cxr_000078_bilateral_lung_fields,finding_img_cxr_000078_pneumonia_label,0.45
mm_image_link_01080,migraine,Disease,roi_img_cxr_000079_bilateral_lung_fields,finding_img_cxr_000079_pneumonia_label,0.45
mm_image_link_01081,migraine,Disease,roi_img_cxr_000080_bilateral_lung_fields,finding_img_cxr_000080_pneumonia_label,0.45
mm_image_link_01082,pain,Disease,roi_img_cxr_000081_bilateral_lung_fields,finding_img_cxr_000081_pneumonia_label,0.45
mm_image_link_01083,migraine,Disease,roi_img_cxr_000082_bilateral_lung_fields,finding_img_cxr_000082_pneumonia_label,0.45
